"Date","Open","High","Low","Close","Volume","Volatility","LogReturn"
2025-06-30,2500.6053913406,2521.7204588282,2438.0549138166,2486.4643327619,16859727663.03,3.34581159031838,0.032982242238047
2025-06-29,2437.1148322922,2523.3206528394,2417.6253585354,2500.9600353849,12500580478.82,4.33690250879927,0.00581291759853109
2025-06-28,2423.9253989525,2448.1916302027,2407.7617213909,2437.1094865049,8273074809.28,1.66795186144224,-0.0258619719234412
2025-06-27,2416.0230864247,2463.1546979432,2386.3249607935,2423.8668437067,15309834969.7,3.18000840229532,-0.005448566156117
2025-06-26,2419.1548124228,2519.6198376776,2399.5339376371,2416.146699528,18300413888.04,4.96396094304661,-0.0031901360014972
2025-06-25,2448.7373814525,2468.6778981074,2394.6074141098,2419.3102483686,17158118624.58,3.02484392808443,0.00130847997450978
2025-06-24,2421.830560694,2481.2229189284,2379.5694154056,2448.0088600947,19539047009.43,4.19738297024669,0.0117925057562553
2025-06-23,2228.4847041767,2434.2398190625,2191.4182489731,2421.8248913869,26247439428.72,10.8962637093401,-0.0107536406257163
2025-06-22,2298.8426686226,2313.8529474325,2116.6814805604,2228.213144898,28458151601.48,8.57698830647856,-0.0833213593769768
2025-06-21,2407.3477547466,2448.4116548944,2222.8126095218,2300.4956387858,16108791761.83,9.37126947811272,0.031924610883058
2025-06-20,2521.5263177752,2569.0145932767,2371.4744758724,2407.3042762144,22592586688.09,7.83414854771748,0.0453829690191201
2025-06-19,2524.4039414787,2546.7696102561,2486.1019157219,2521.6536702769,12782730709.36,2.40324828912536,0.0464073408073125
2025-06-18,2510.8168096452,2546.6274818193,2469.0502186679,2524.3015307665,19873957904.83,3.08972215150823,0.00104949831187273
2025-06-17,2540.3143779615,2617.901407601,2456.6489290116,2510.7614921028,25653232897.12,6.34773711428577,-0.00537831254175991
2025-06-16,2547.226895762,2680.0875951757,2517.1452744184,2540.6050663562,22792449577.22,6.3968514555338,0.0118161773224283
2025-06-15,2533.1832975252,2558.6776897713,2493.2045219589,2546.8371588019,13961893827.76,2.58462022374631,0.00244999168037907
2025-06-14,2579.7215143187,2580.1581535893,2491.4906818453,2533.4441915193,14285000472.85,3.43709471165212,-0.0052725419659847
2025-06-13,2651.9155605939,2651.9155605939,2443.9627146036,2579.486038699,37986747138.47,7.84160887625429,0.0180104518050346
2025-06-12,2773.5978126125,2784.262793898,2619.9665537204,2651.7952388213,25924959612.73,5.92357837284442,0.027646689963186
2025-06-11,2813.7397458841,2877.6292904417,2746.4599377971,2773.5293199848,30705408053.77,4.6617443150694,0.0448837726866591
2025-06-10,2681.2853293436,2824.8080126769,2658.6771446823,2813.5174722242,35555755055.15,6.19594140826744,0.0143148380783735
2025-06-09,2510.8380950887,2693.8065391692,2479.867906226,2681.5171951808,20605172559.53,8.52060646051502,-0.048052718066824
2025-06-08,2526.1933934895,2547.4670463726,2493.9201416849,2510.7870002709,12097170202.77,2.11966767175075,-0.0657865020203197
2025-06-07,2477.1832809676,2543.0487664147,2459.137208559,2526.5053936495,11664303387.31,3.38737785372601,0.00624083065503989
